WCC_ID,Wikidata_entity,QLIT_entity
33,http://www.wikidata.org/entity/Q123851327,https://queerlit.dh.gu.se/qlit/v1/kn70dj43
36,http://www.wikidata.org/entity/Q123851307,https://queerlit.dh.gu.se/qlit/v1/ju65bo79
54,http://www.wikidata.org/entity/Q660882,https://queerlit.dh.gu.se/qlit/v1/rj97ul15
71,http://www.wikidata.org/entity/Q123851306,https://queerlit.dh.gu.se/qlit/v1/jt69hs39
83,http://www.wikidata.org/entity/Q123851606,https://queerlit.dh.gu.se/qlit/v1/st81qb94
85,http://www.wikidata.org/entity/Q123851713,https://queerlit.dh.gu.se/qlit/v1/xx95hc99
86,http://www.wikidata.org/entity/Q18116794,https://queerlit.dh.gu.se/qlit/v1/mb15si12
89,http://www.wikidata.org/entity/Q301702,https://queerlit.dh.gu.se/qlit/v1/zq57kl95
93,http://www.wikidata.org/entity/Q123851517,https://queerlit.dh.gu.se/qlit/v1/qx32lu52
105,http://www.wikidata.org/entity/Q123851183,https://queerlit.dh.gu.se/qlit/v1/fs91lv00
111,http://www.wikidata.org/entity/Q20746742,https://queerlit.dh.gu.se/qlit/v1/jv45ng56
123,http://www.wikidata.org/entity/Q59677,https://queerlit.dh.gu.se/qlit/v1/kx09ve81
134,http://www.wikidata.org/entity/Q376032,https://queerlit.dh.gu.se/qlit/v1/nu38hi25
142,http://www.wikidata.org/entity/Q123851457,https://queerlit.dh.gu.se/qlit/v1/pn74ek02
143,http://www.wikidata.org/entity/Q1093205,https://queerlit.dh.gu.se/qlit/v1/wj35lq02
152,http://www.wikidata.org/entity/Q184674,https://queerlit.dh.gu.se/qlit/v1/im61zi90
156,http://www.wikidata.org/entity/Q123851262,https://queerlit.dh.gu.se/qlit/v1/il00wp51
158,http://www.wikidata.org/entity/Q190007,https://queerlit.dh.gu.se/qlit/v1/wv53po26
161,http://www.wikidata.org/entity/Q6623,https://queerlit.dh.gu.se/qlit/v1/vr63wa97
168,http://www.wikidata.org/entity/Q18299,https://queerlit.dh.gu.se/qlit/v1/ss45lx96
173,http://www.wikidata.org/entity/Q11460,https://queerlit.dh.gu.se/qlit/v1/ac83ik65
181,http://www.wikidata.org/entity/Q58929,https://queerlit.dh.gu.se/qlit/v1/wn56qx41
183,http://www.wikidata.org/entity/Q123851555,https://queerlit.dh.gu.se/qlit/v1/rq71or71
