Wikidata_Entity,rdfs:label,skos:altLabel,Entities_in_graph_QLIT,prefLabel_in_English_in_graph_QLIT,altLabel_in_English_in_graph_QLIT
http://www.wikidata.org/entity/Q123851327,['Judendom (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/kn70dj43,['Judendom (hbtqi)'],['Judar (hbtqi)']
http://www.wikidata.org/entity/Q123851307,['Badplatser (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/ju65bo79,['Badplatser (hbtqi)'],"['Badställen (hbtqi)', 'Stränder (hbtqi)']"
http://www.wikidata.org/entity/Q660882,['hijra'],['hijras'],https://queerlit.dh.gu.se/qlit/v1/rj97ul15,['Hijre'],"['Hijra', 'Hijras', 'Jagappa', 'Khawaja sira', 'Khwaja sira', 'Kinnar', 'Kinner']"
http://www.wikidata.org/entity/Q123851306,['Transföräldrar'],[],https://queerlit.dh.gu.se/qlit/v1/jt69hs39,['Transföräldrar'],[]
http://www.wikidata.org/entity/Q123851606,['Protestantism (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/st81qb94,['Protestantism (hbtqi)'],"['Anglikaner (hbtqi)', 'Anglikanism (hbtqi)', 'Baptism (hbtqi)', 'Baptister (hbtqi)', 'Kalvinism (hbtqi)', 'Kalvinister (hbtqi)', 'Kväkare (hbtqi)', 'Protestanter (hbtqi)']"
http://www.wikidata.org/entity/Q123851713,['Barn till transpersoner'],[],https://queerlit.dh.gu.se/qlit/v1/xx95hc99,['Barn till transpersoner'],[]
http://www.wikidata.org/entity/Q18116794,['könsbytande'],"['genderfluid', 'könsflytande']",https://queerlit.dh.gu.se/qlit/v1/mb15si12,['Genderfluid-personer'],[]
http://www.wikidata.org/entity/Q301702,['two-spirit'],[],https://queerlit.dh.gu.se/qlit/v1/zq57kl95,['Two-spirit'],"['Two-spirit-personer', 'Twospirit', 'Twospirit-personer']"
http://www.wikidata.org/entity/Q123851517,['Fysiskt funktionshindrade HBTQI-personer'],[],https://queerlit.dh.gu.se/qlit/v1/qx32lu52,['Fysiskt funktionshindrade hbtqi-personer'],"['Fysiskt funktionsvarierade hbtqi-personer', 'Hbtqi-personer med fysiska funktionsnedsättningar']"
http://www.wikidata.org/entity/Q123851183,['Religion (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/fs91lv00,['Religion (hbtqi)'],"['Gudstro (hbtqi)', 'Tro (hbtqi)', 'Troende (hbtqi)', 'Trosriktningar (hbtqi)']"
http://www.wikidata.org/entity/Q20746742,['adoptivförälder'],[],https://queerlit.dh.gu.se/qlit/v1/jv45ng56,['Adoptivföräldrar (hbtqi)'],[]
http://www.wikidata.org/entity/Q59677,['transfobi'],[],https://queerlit.dh.gu.se/qlit/v1/kx09ve81,['Transfobi'],[]
http://www.wikidata.org/entity/Q376032,['Tribadism'],"['Tribbing', 'Scissors kissing']",https://queerlit.dh.gu.se/qlit/v1/nu38hi25,['Tribader'],[]
http://www.wikidata.org/entity/Q123851457,['Bisexuella barn'],[],https://queerlit.dh.gu.se/qlit/v1/pn74ek02,['Bisexuella barn'],[]
http://www.wikidata.org/entity/Q1093205,['Cisperson'],[],https://queerlit.dh.gu.se/qlit/v1/wj35lq02,['Cispersoner'],[]
http://www.wikidata.org/entity/Q184674,['impotens'],"['Potensproblem', 'Erektil dysfunktion', 'Impotent']",https://queerlit.dh.gu.se/qlit/v1/im61zi90,['Erektil dysfunktion'],"['ED', 'Impotens', 'Svårt att få stånd']"
http://www.wikidata.org/entity/Q123851262,['Vård i livets slutskede (aids)'],[],https://queerlit.dh.gu.se/qlit/v1/il00wp51,['Vård i livets slutskede (aids)'],"['Palliation (aids)', 'Palliativ vård (aids)', 'Palliativt skeende (aids)', 'Vård av döende (aids)']"
http://www.wikidata.org/entity/Q190007,['ungdom'],"['ungdomar', 'ungdomen']",https://queerlit.dh.gu.se/qlit/v1/wv53po26,['Ungdomar'],[]
http://www.wikidata.org/entity/Q6623,['vibrator'],[],https://queerlit.dh.gu.se/qlit/v1/vr63wa97,['Vibratorer'],[]
http://www.wikidata.org/entity/Q11460,['kläder'],[],https://queerlit.dh.gu.se/qlit/v1/ac83ik65,['Kläder'],[]
http://www.wikidata.org/entity/Q58929,['Kastrering'],"['Kastrera', 'Orchiektomi', 'Kastrerad', 'Kastration', 'Snöpa']",https://queerlit.dh.gu.se/qlit/v1/wn56qx41,['Kastrering'],['Kastration']
http://www.wikidata.org/entity/Q123851555,['Sexualpolitiska organisationer'],[],https://queerlit.dh.gu.se/qlit/v1/rq71or71,['Sexualpolitiska organisationer'],['Organisationer för sexualvetenskap och sexualreform']
http://www.wikidata.org/entity/Q123851091,['Kärlek (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/cb49gf75,['Kärlek (hbtqi)'],['Kärleksrelationer (hbtqi)']
http://www.wikidata.org/entity/Q123851723,['HBTQI-personer i militären'],[],https://queerlit.dh.gu.se/qlit/v1/ye10vq18,['Hbtqi-personer i militären'],"['Militärer (hbtqi)', 'Soldater (hbtqi)']"
http://www.wikidata.org/entity/Q543,['censur'],[],https://queerlit.dh.gu.se/qlit/v1/lr64yh52,['Censur'],[]
http://www.wikidata.org/entity/Q1070054,['omklädningsrum'],[],https://queerlit.dh.gu.se/qlit/v1/xp00ce87,['Omklädningsrum'],[]
http://www.wikidata.org/entity/Q42165,['stjärt'],"['sätesregion', 'arsle', 'gump', 'rompa', 'arslet', 'rumpa', 'rumpor', 'bakdel', 'Stuss', 'röv', 'rumpan', 'ända', 'stjärtar', 'rump', 'röven', 'stuss']",https://queerlit.dh.gu.se/qlit/v1/wd93mx30,['Skinkor'],[]
http://www.wikidata.org/entity/Q5507613,['sadism'],[],https://queerlit.dh.gu.se/qlit/v1/tk37pb02,['Sadism'],[]
http://www.wikidata.org/entity/Q192280,['sexualupplysning'],"['sexualundervisning', 'sex och samlevnad', 'sexualkunskap', 'sex- och samlevnadsundervisning', 'sexundervisning']",https://queerlit.dh.gu.se/qlit/v1/sg24na75,['Sexualundervisning'],"['Sexualkunskap', 'Sexualupplysning']"
http://www.wikidata.org/entity/Q83345,['manlig omskärelse'],"['omskärelse av pojkar', 'high and tight', 'manlig könsstympning', 'mohel']",https://queerlit.dh.gu.se/qlit/v1/qt34ot13,['Omskärelse'],['Manlig omskärelse']
