Language,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#altLabel,total,number_of_entities,labels_per_entity
zh,462,431,893,287,3.11
tg,38,8,46,35,1.31
chr,2,1,3,2,1.50
vec,43,11,54,43,1.26
eu,163,78,241,163,1.48
ar,237,248,485,237,2.05
smn,59,6,65,59,1.10
gl,135,43,178,135,1.32
bcl,73,4,77,73,1.05
kk,85,4,89,59,1.51
sr,259,131,390,187,2.09
be-tarask,123,67,190,124,1.53
mk,105,27,132,105,1.26
nb,170,179,349,170,2.05
tr,220,209,429,220,1.95
az,117,19,136,117,1.16
ht,30,7,37,30,1.23
my,26,1,27,26,1.04
fy,74,4,78,74,1.05
ru,292,356,648,293,2.21
es,331,620,951,333,2.86
it,266,253,519,266,1.95
eo,226,114,340,226,1.50
hr,127,41,168,127,1.32
fr,326,474,800,327,2.45
zh-hans,145,20,165,145,1.14
co,7,5,12,7,1.71
sr-ec,70,10,80,70,1.14
lmo,29,1,30,29,1.03
uk,242,156,398,242,1.64
hu,186,116,302,186,1.62
sm,1,0,1,1,1.00
de,307,517,824,298,2.77
br,61,17,78,61,1.28
et,129,44,173,129,1.34
yue,111,43,154,111,1.39
ku,59,18,77,49,1.57
pa,60,4,64,60,1.07
sv,236,301,537,236,2.28
nl,286,240,526,286,1.84
mn,16,2,18,16,1.12
rmy,5,0,5,5,1.00
pl,220,164,384,220,1.75
am,9,3,12,9,1.33
pt,340,541,881,299,2.95
ch,2,0,2,2,1.00
sh,123,47,170,123,1.38
id,198,94,292,198,1.47
ja,291,415,706,291,2.43
pt-br,95,134,229,95,2.41
la,81,30,111,81,1.37
szl,5,0,5,5,1.00
os,8,0,8,8,1.00
wuu,70,9,79,70,1.13
ca,287,195,482,287,1.68
lad,3,0,3,3,1.00
zea,1,0,1,1,1.00
fi,195,179,374,195,1.92
se,59,35,94,59,1.59
gv,10,3,13,10,1.30
lb,51,13,64,51,1.25
ka,74,11,85,74,1.15
as,44,9,53,44,1.20
sa,4,1,5,4,1.25
he,261,216,477,261,1.83
sei,0,0,0,0,0.00
te,44,39,83,44,1.89
de-ch,30,0,30,30,1.00
rw,2,0,2,2,1.00
lv,94,59,153,94,1.63
fa,221,210,431,221,1.95
is,67,15,82,67,1.22
nan,42,5,47,42,1.12
cy,97,44,141,97,1.45
en,473,1219,1692,429,3.94
arz,40,4,44,40,1.10
zh-hk,97,5,102,97,1.05
hi,91,34,125,91,1.37
cs,217,217,434,218,1.99
tl,89,570,659,89,7.40
ace,1,0,1,1,1.00
si,32,4,36,32,1.12
jbo,8,0,8,8,1.00
zh-tw,77,10,87,77,1.13
uz,76,11,87,76,1.14
ur,109,32,141,109,1.29
xh,10,0,10,10,1.00
ast,80,21,101,80,1.26
ga,98,20,118,98,1.20
be,209,86,295,155,1.90
mg,11,0,11,11,1.00
gor,0,0,0,0,0.00
ko-kp,3,0,3,3,1.00
new,23,7,30,23,1.30
mhr,8,7,15,8,1.88
ta,88,24,112,88,1.27
ko,242,163,405,240,1.69
ml,68,46,114,68,1.68
lij,4,0,4,4,1.00
nap,5,0,5,5,1.00
pnb,48,3,51,48,1.06
crh-latn,0,0,0,0,0.00
el,169,49,218,169,1.29
mo,2,0,2,2,1.00
mt,14,1,15,14,1.07
iu,8,3,11,8,1.38
ext,9,1,10,9,1.11
ce,12,1,13,12,1.08
zh-hant,165,30,195,165,1.18
bn,135,25,160,135,1.19
li,12,2,14,12,1.17
sk,100,80,180,100,1.80
bm,4,2,6,4,1.50
tum,1,0,1,1,1.00
war,29,4,33,29,1.14
rue,9,0,9,9,1.00
gom-deva,0,0,0,0,0.00
ms,130,57,187,116,1.61
pam,16,8,24,16,1.50
kw,12,0,12,12,1.00
mr,60,12,72,60,1.20
ps,44,3,47,44,1.07
wa,17,8,25,17,1.47
sw,52,21,73,52,1.40
nn,80,74,154,81,1.90
gom,1,0,1,1,1.00
